Study ID,,,,,Site information,,,,,,,,,,,,,,,,,,,,,,Site history and vegetation information,,,,,,,,General experiment information,,,,
Study ID,Citation name,DOI,Source file name,Person extracting data,Location name,Location country,Experiment name,Elevation (m),Latitude,Longitude,lat_lon_method,lat_lon_notes,MAT (oC),MAP (mm),Soil texture,Soil taxonomy or description,Depth to bedrock,Depth to bedrock units,Depth to groundwater,Depth to groundwater units,Soil C:N,Soil C content,Soil organic matter content,Soil pH,Plant biomass/cover/LAI,Plant bio/cov/LAI units,Dominant species,Species diversity,Species diversity type,%C4,Vegetation type,Whittaker biome,Site history,Managed type,Planting/removal date,Experiment type,Facility type,Original goal of experiment,Notes
1007_2,Grigg et al. 2010,https://doi.org/10.1007/s11104-009-9957-5,Grigg_2010_PlantSoil_2c_1007,EGR,Great Sandy Desert- mine rehabilitation,Australia,mine rehabilitation site,,-21.66666667,121.5833333,reported,,,300,sand,"0.3 m cover native sand over a white, silty shale waste material; texture-contrast duplex soil. Top cover was 88% sand, 5% clay, 7% silt with a field capacity of 0.25. Waste material was 35% sand, 20% clay, and 45% silt.",,,,,,,,"7.3 for topsoil, 8.7 for waste material",12,%,"Acacia sp., Triodia sp.",,,,semiarid desert,,,,,,,,
978,Hultine et al. 2004,https://doi.org/10.1111/j.0269-8463.2004.00867.x,Hultine_2004_FunctEcol_2b_978,EGR,"San Pedro River floodplain, AZ",USA,,1190,31.666667,-111.183333,reported,,,350,sandy loam,,,,7 to 11,,,,,,1.6,m2/m2,"Prosopis velutina, Sporobolus wrightii",,,,desert,,,,,,,,
299,Petrakis et al. (2017),https://link.springer.com/article/10.1007/s10533-017-0320-2,Petrakis2017_Biogeochemistry_1a_299,JG,Fair Hill Natural Resources Management Area,USA,,,39.7,-75.83333333,reported,,,1205,,"Lithic Dystrudepts in upland forests, Oxyaquatic Dystrudepts in valley bottoms",,,,,,,,,,,"Fagus grandifolia, Liriodendron tulipifera, Acer rubrum",,,,"temperate forest, wetland",,,,14-Jun,,,,
321_1,Rey et al. (2017),https://doi.org/10.1016/j.geoderma.2016.06.025,Rey2017_Geoderma_1a_321,JG,Cabo de Gata Natural Park,Spain,Natural grassland (Balsablanca),208,36.94166667,-2.032777778,reported,,18,200,sandy loam,Mollic Lithic Leptosol,,,,,,,,8,63.2,%,,,,,"perennial semiarid steppe, grassland",,,,,field - intact,outdoor,,"For experiment 2, soils were wetted to different ranges prior to addition of experimental pulse. Here, these ranges are reported as time 0 for the record tab"
321_2,Rey et al. (2017),https://doi.org/10.1016/j.geoderma.2016.06.025,Rey2017_Geoderma_1a_321,JG,Cabo de Gata Natural Park,Spain,Degraded grassland (Amoladeras),65,36.83472222,-2.250277778,reported,,18,200,sandy loam,Lithic Leptosol,,,,,,,,8.4,23.1,%,,,,,"perennial semiarid steppe, grassland",,grazing,,,field - intact,outdoor,,
359,Shen et al. (2015),https://doi.org/10.1016/j.apsoil.2015.01.015,Shen2015_AppliedSoilEcology_1a_359,JG,Damxung Grassland Observation Station,China,,,30.5,91.06666667,reported,,1.3,476.8,sandy loam,,,,,,,,,,,,Kobresia,,,,alpine meadow,,,,13-Jun,field - intact,outdoor,,"Open-top chamber experiments, but data only extracted from unwarmed controls; figure quality and description was poor, so unclear of time of watering, sample size, errorbars, etc.  No SE/SD reported because points on figure were not jittered"
378,Song et al. (2012),https://doi.org/10.1016/j.soilbio.2012.01.028,Song_2012_SoilBiolBiochem_1a_378,JG,Badain Jaran Desert and Tengger Desert,China,,,38.56666667,102.9666667,reported,,7.8,115,sand,,,,,,,,,,35,%,Nitraria tangutorum,,,,"desert, patchy shrubs and sand dunes",,,,,,,,
22,Bachman et al. (2010),https://doi.org/10.1007/s00442-009-1511-x,Bachman_2010_Oecologia_1a_22,JG,USDA-ARS High Plains Grassland Research Station,USA,Prairie Heating and CO2 Enrichment,1930,41.18255,-104.897,estimated,google,,384,,"fine-loamy, mixed mesic Aridic Argiustolls",,,,,,,,,,,"Pascopyrum smithii, Hesperostipa comata, Bouteloua gracilis, Artemisia frigida",,,25,high elevation native northern mixed-grass prairie,,,,6-Apr,field - intact,outdoor,,"heating and CO2 enriched treatments, but only included ambient CO2 plots that received eight simulated pulses from late May to early August and control with only natural precipitation"
642_1,"Huxman, T. E., J. M. Cable, D. D. Ignace, J. A. Eilts, N. B. English, J. Weltzin and D. G. Williams (2004). ""Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture."" Oecologia 141(2): 295-305.",https://doi.org/10.1007/s00442-003-1389-y,Huxman_2004_Oecologia_1b_642,DP,Santa Rita Experimental Range,USA,,1200,31.795914,-110.847968,estimated,google,,,,holocene,,,,,,,,,,,Heteropogon contortus,monoculture,,,grassland,,,,,,,,
642_2,"Huxman, T. E., J. M. Cable, D. D. Ignace, J. A. Eilts, N. B. English, J. Weltzin and D. G. Williams (2004). ""Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture."" Oecologia 141(2): 295-305.",https://doi.org/10.1007/s00442-003-1389-y,Huxman_2004_Oecologia_1b_642,DP,Santa Rita Experimental Range,USA,,1200,31.795914,-110.847968,estimated,google,,,,holocene,,,,,,,,,,,Eragrostis lehmanniana,monoculture,,,grassland,,,,,,,,
642_3,"Huxman, T. E., J. M. Cable, D. D. Ignace, J. A. Eilts, N. B. English, J. Weltzin and D. G. Williams (2004). ""Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture."" Oecologia 141(2): 295-305.",https://doi.org/10.1007/s00442-003-1389-y,Huxman_2004_Oecologia_1b_642,DP,Santa Rita Experimental Range,USA,,1200,31.795914,-110.847968,estimated,google,,,,pleistocene,,,,,,,,,,,Heteropogon contortus,monoculture,,,grassland,,,,,,,,
642_4,"Huxman, T. E., J. M. Cable, D. D. Ignace, J. A. Eilts, N. B. English, J. Weltzin and D. G. Williams (2004). ""Response of net ecosystem gas exchange to a simulated precipitation pulse in a semi-arid grassland: the role of native versus non-native grasses and soil texture."" Oecologia 141(2): 295-305.",https://doi.org/10.1007/s00442-003-1389-y,Huxman_2004_Oecologia_1b_642,DP,Santa Rita Experimental Range,USA,,1200,31.795914,-110.847968,estimated,google,,,,pleistocene,,,,,,,,,,,Eragrostis lehmanniana,monoculture,,,grassland,,,,,,,,
64,"Chen, S. P., G. H. Lin, J. H. Huang and G. D. Jenerette (2009). ""Dependence of carbon sequestration on the differential responses of ecosystem photosynthesis and respiration to rain pulses in a semiarid steppe."" Global Change Biology 15(10): 2450-2461.",https://doi.org/10.1111/j.1365-2486.2009.01879.x,Chen_2009_GlobalChangeBiology_1a_64,DP,"Duolun County, Inner Mongolia",China,Duolun Global Change Multiple‐factor Experiment,1324,42.183333,116.8,estimated,google,3.3,399,sandy loam,Calcic Luvisols,,,,,10.8,16.1,,,,,Stipa krylovii,,,,steppe,,previously grazed,fenced,,,,,coord's are a guess
539_1,Cable et al. (2008),https://doi.org/10.1007/s10021-008-9172-x,Cable_2008_Ecosystems_1b_539,KSC,Santa Rita Experimental Range,USA,NA,,31.78,-110.88,estimated,From English et al. 2005,17.9,,sandy loam,,,,,,,,,,18.6,plants/m^2,"H. Contortus, E. lehmanniana",,,,desert grassland,desert grassland,,experimental,spring / fall 2001,planted,rainout,compare responses of vegetated and bare plots to different size precipitation pulses,
